num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-4.934800,6.94128,3.41332,3.52795
1,-4.934800,7.89274,5.48513,2.40761
2,-4.934800,7.91187,5.5091,2.40277
3,-4.934800,7.91791,5.51028,2.40763
4,-4.934800,7.88061,5.48051,2.4001
5,-4.934800,7.89144,5.49029,2.40115
6,-4.934800,7.86485,5.4722,2.39265
7,-4.934800,7.8685,5.46178,2.40672
8,-4.934800,7.92949,5.46408,2.46541
9,-4.934800,7.90767,5.48943,2.41824
10,-4.934800,7.91403,5.48958,2.42444
11,-4.934800,7.90321,5.47757,2.42564
12,-4.934800,7.88851,5.47946,2.40904
13,-4.934800,7.92578,5.50033,2.42545
14,-4.934800,7.92779,5.50878,2.419
15,-4.934800,7.96376,5.5199,2.44386
16,-4.934800,7.90555,5.4872,2.41835
17,-4.934800,7.92882,5.49901,2.42981
18,-4.934800,7.89109,5.47304,2.41805
19,-4.934800,7.89938,5.47993,2.41945
20,-4.934800,7.89396,5.47178,2.42219
21,-4.934800,7.91484,5.49991,2.41493
22,-4.934800,7.95796,5.5049,2.45306
23,-4.934800,7.92976,5.47617,2.45359
24,-4.934800,7.89138,5.46303,2.42836
25,-4.934800,7.89403,5.4779,2.41614
26,-4.934800,7.92448,5.5105,2.41398
27,-4.934800,7.94696,5.52353,2.42343
28,-4.934800,8.02794,5.60807,2.41987
29,-4.934800,7.91773,5.5039,2.41384
