num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-0.000712,3.03917,8.8e-05,3.03908
1,-0.000712,1.19537,0.000106,1.19527
2,-0.000712,1.19451,8.6e-05,1.19442
3,-0.000712,1.19628,8.8e-05,1.19619
4,-0.000712,1.19702,0.000683,1.19633
5,-0.000712,1.19667,7.6e-05,1.1966
6,-0.000712,1.19324,8.8e-05,1.19315
7,-0.000712,1.19511,7.7e-05,1.19503
8,-0.000712,1.19718,0.000683,1.19649
9,-0.000712,1.19738,7.5e-05,1.19731
10,-0.000712,1.1966,7.5e-05,1.19653
11,-0.000712,1.19641,7.7e-05,1.19633
12,-0.000712,1.20057,0.000681,1.19989
13,-0.000712,1.19779,7.9e-05,1.19771
14,-0.000712,1.19399,7.5e-05,1.19391
15,-0.000712,1.19509,7.8e-05,1.19501
16,-0.000712,1.19596,0.000683,1.19528
17,-0.000712,1.1972,9.1e-05,1.19711
18,-0.000712,1.19694,7.8e-05,1.19686
19,-0.000712,1.19788,7.9e-05,1.1978
20,-0.000712,1.19457,0.000674,1.1939
21,-0.000712,1.19698,8.7e-05,1.1969
22,-0.000712,1.19623,7.8e-05,1.19615
23,-0.000712,1.19624,7.9e-05,1.19616
24,-0.000712,1.19769,0.000685,1.19701
25,-0.000712,1.1965,7.6e-05,1.19643
26,-0.000712,1.19491,7.6e-05,1.19483
27,-0.000712,1.19679,7.6e-05,1.19671
28,-0.000712,1.19715,0.000683,1.19647
29,-0.000712,1.19659,7.8e-05,1.19651
