benchmark,exec_policy,prefetch,block_size_1d,block_size_2d,num_blocks_1d,block_size_str,total_iterations,size,num_gpu,num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
b1m,default,none,32,8,64,"32,8",30,160000000,1,0,-4.9348,1.14102,0.919235,0.221789,1.85469768361095,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,1,-4.934799,1.1382,0.919741,0.218463,1.8829346138723217,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,2,-4.9348,1.13681,0.919014,0.217797,1.8886924271242902,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,3,-4.9348,1.14396,0.918926,0.225035,1.8279447399310729,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,4,-4.9348,1.1437,0.920818,0.222879,1.8456271992892512,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,5,-4.9348,1.14018,0.920721,0.219457,1.8744061230691615,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,6,-4.9348,1.14422,0.921276,0.222947,1.845064273349222,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,7,-4.934799,1.1408,0.918976,0.221823,1.8544134041573193,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,8,-4.9348,1.14384,0.918651,0.225188,1.8267027752384186,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,9,-4.934801,1.13778,0.918733,0.219043,1.8779488253465713,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,10,-4.934799,1.14372,0.920951,0.222764,1.8465799884648733,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,11,-4.9348,1.14415,0.921073,0.22308,1.8439642484776269,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,12,-4.9348,1.14224,0.921456,0.220782,1.8631570714568624,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,13,-4.934799,1.14563,0.920922,0.224706,1.8306210984592715,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,14,-4.9348,1.14598,0.920973,0.22501,1.8281478358756902,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,15,-4.9348,1.13896,0.919095,0.219863,1.8709448363316656,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,16,-4.9348,1.1402,0.91844,0.221758,1.854956955556909,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,17,-4.934799,1.1479,0.918205,0.229698,1.7908364223910918,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,18,-4.934799,1.14261,0.919123,0.22349,1.840581433399208,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,19,-4.9348,1.14091,0.919933,0.220979,1.8614960903542375,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,20,-4.934801,1.14262,0.920215,0.222405,1.849560686811848,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,21,-4.9348,1.14148,0.920186,0.221296,1.8588295520496936,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,22,-4.9348,1.13939,0.919416,0.219975,1.8699922470752994,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,23,-4.9348,1.14288,0.917849,0.225029,1.8279934788422336,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,24,-4.9348,1.14383,0.918562,0.225263,1.8260945852198942,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,25,-4.9348,1.13542,0.918706,0.216711,1.8981571980674217,0.41283
b1m,default,none,32,8,64,"32,8",30,160000000,1,26,-4.9348,1.14063,0.920653,0.219976,1.86998374618317,0.41283
b1m,default,none,32,8,64,"32,8",30,250000000,1,0,-4.9348,1.77593,1.43804,0.337884,1.8908384188743752,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,1,-4.934801,1.77859,1.43778,0.34081,1.8746047601976157,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,2,-4.934801,1.77602,1.43789,0.338126,1.889485127801321,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,3,-4.9348,1.77652,1.43851,0.338011,1.8901279790389942,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,4,-4.934799,1.77842,1.43747,0.340954,1.8738130314439763,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,5,-4.9348,1.77594,1.43789,0.338051,1.889904329000504,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,6,-4.934801,1.77936,1.43684,0.342519,1.8652514118135035,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,7,-4.9348,1.78028,1.43713,0.343151,1.8618160760800622,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,8,-4.9348,1.77587,1.4377,0.338171,1.8892336963339538,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,9,-4.9348,1.77699,1.43809,0.338901,1.8851642465585803,0.634413
b1m,default,none,32,8,64,"32,8",30,250000000,1,10,-4.9348,1.7779,1.43771,0.340186,1.8780433301868666,0.634413
