benchmark,exec_policy,num_gpu,block_size_1d,block_size_2d,num_blocks_1d,total_iterations,size,num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec,speedup,baseline_time
b11m,default,1,256,8,64,30,40000,13,0.000232,4.148284562962961,2.382678992592592,1.7656054222222224,0.978376883141765,1.5226881999999988
b11m,default,2,256,8,64,30,40000,13,0.000232,3.3170478518518514,2.388797992592593,0.9282492,1.6479945617011802,1.5226881999999988
b11m,default,4,256,8,64,30,40000,13,0.000232,3.1811399407407404,2.4007391333333334,0.7804000000000003,1.888186475113663,1.5226881999999988
b11m,default,8,256,8,64,30,40000,13,0.000232,3.562421133333332,2.6484858518518517,0.9139351555555556,1.9444373293528374,1.5226881999999988
b11m,sync,1,256,8,64,30,40000,13,0.000232,3.9091798444444446,2.386605570370371,1.5225742074074076,1.000001062210203,1.5226881999999988
b1m,default,1,32,8,64,30,532000000,13,-4.934799940740738,3.7771843703703705,3.0718589555555558,0.7053253333333334,1.9017093273119843,1.3515226000000016
b1m,default,2,32,8,64,30,532000000,13,-4.934799911111107,3.524188444444445,3.0608030148148138,0.4633853851851851,2.87677197207879,1.3515226000000016
b1m,default,4,32,8,64,30,532000000,13,-4.934799992592589,3.4522956296296283,3.0676147111111103,0.3846802518518519,3.5068204612344487,1.3515226000000016
b1m,default,8,32,8,64,30,532000000,13,-4.934800237037033,3.205531629629629,2.995307940740741,0.21022346666666666,6.410924202365344,1.3515226000000016
b1m,sync,1,32,8,64,30,532000000,13,-4.934800044444441,4.423030592592591,3.0690711925925935,1.3539598666666668,1.0000529463805832,1.3515226000000016
b5m,default,1,1024,8,64,30,22000000,13,9.616545999999978,3.030094444444444,1.953656822222222,1.076436622222222,1.0349466002192953,1.1178286
b5m,default,2,1024,8,64,30,22000000,13,9.616545999999978,2.542177407407408,1.9267786296296292,0.6153990370370374,1.8116141328242923,1.1178286
b5m,default,4,1024,8,64,30,22000000,13,9.616545999999978,2.366282148148148,1.9422753777777766,0.4240068666666667,2.639161916203842,1.1178286
b5m,default,8,1024,8,64,30,22000000,13,9.616545999999978,2.1874143629629628,1.963335933333334,0.22407794074074078,4.986101086311588,1.1178286
b5m,sync,1,1024,8,64,30,22000000,13,9.616545999999978,3.081408296296296,1.961745459259259,1.1196629481481486,1.0000422396501165,1.1178286
b6m,default,1,32,8,64,30,1400000,13,5.0,1.6270010370370378,0.07358083703703704,1.5534197037037025,1.5677371914286742,2.433221999999998
b6m,default,2,32,8,64,30,1400000,13,5.0,0.9244048666666667,0.07403331851851853,0.8503715629629632,2.862609373315778,2.433221999999998
b6m,default,4,32,8,64,30,1400000,13,5.0,0.5724963703703705,0.07476996296296297,0.4977264074074072,4.8896811667876525,2.433221999999998
b6m,default,8,32,8,64,30,1400000,13,5.0,0.7330181111111106,0.06932170370370369,0.6636963555555554,3.689445105840031,2.433221999999998
b6m,sync,1,32,8,64,30,1400000,13,5.0,2.5072231111111103,0.07387497037037034,2.4333476296296297,1.000000780516585,2.433221999999998
b9m,default,1,32,8,64,30,40000,13,-0.002686399999999996,1.2473296592592589,0.0002497629629629628,1.2470796888888886,2.515514132287324,2.990216799999997
b9m,default,2,32,8,64,30,40000,13,-0.0026863925925925884,0.6882868148148146,9.070370370370368e-05,0.6881960740740739,4.520876758654825,2.990216799999997
b9m,default,4,32,8,64,30,40000,13,-0.002686399999999996,0.44131911111111105,0.0001581037037037034,0.4411610074074075,6.779162887798296,2.990216799999997
b9m,default,8,32,8,64,30,40000,13,-0.0026864074074074034,1.9320351407407412,8.468148148148154e-05,1.9319505777777783,1.669788870892361,2.990216799999997
b9m,sync,1,32,8,64,30,40000,13,-0.002686399999999996,2.990419377777777,0.00022851851851851852,2.990190881481481,1.0000000422207291,2.990216799999997
