num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,0.535677,0.007855,0.527822
1,5,0.189172,0.025779,0.163393
2,5,0.193031,0.026079,0.166952
3,5,0.189241,0.025972,0.163269
4,5,0.187441,0.026109,0.161332
5,5,0.190912,0.025941,0.164971
6,5,0.189449,0.02621,0.163239
7,5,0.191827,0.025994,0.165833
8,5,0.189553,0.026141,0.163412
9,5,0.19014,0.02604,0.1641
10,5,0.191373,0.026266,0.165107
11,5,0.189701,0.026018,0.163683
12,5,0.190861,0.026288,0.164573
13,5,0.191142,0.025939,0.165203
14,5,0.191759,0.026057,0.165702
15,5,0.191456,0.025911,0.165545
16,5,0.188971,0.026348,0.162623
17,5,0.189334,0.02586,0.163474
18,5,0.1917,0.026273,0.165427
19,5,0.189819,0.026057,0.163762
20,5,0.189291,0.02625,0.163041
21,5,0.190307,0.025918,0.164389
22,5,0.188916,0.026054,0.162862
23,5,0.188371,0.026188,0.162183
24,5,0.18815,0.025833,0.162317
25,5,0.188558,0.025942,0.162616
26,5,0.191205,0.026428,0.164777
27,5,0.190494,0.026107,0.164387
28,5,0.191039,0.026008,0.165031
29,5,0.19177,0.026239,0.165531
