num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,nan,1.38355,5.3e-05,1.3835
1,nan,1.22686,3.1e-05,1.22683
2,nan,1.22728,2.7e-05,1.22726
3,nan,1.23632,2.8e-05,1.23629
4,nan,1.22809,0.000399,1.22769
5,625.488525,1.22726,3.7e-05,1.22722
6,nan,1.22735,3.6e-05,1.22731
7,nan,1.23415,3.5e-05,1.23412
8,nan,1.22791,0.000379,1.22753
9,nan,1.22679,3.5e-05,1.22676
10,nan,1.22775,3.6e-05,1.22771
11,nan,1.23313,4.9e-05,1.23308
12,nan,1.22766,0.00036,1.2273
13,nan,1.2268,3.5e-05,1.22677
14,nan,1.22721,3.6e-05,1.22717
15,nan,1.23323,5e-05,1.23318
16,nan,1.22798,0.000373,1.22761
17,254400320.000000,1.22688,3.6e-05,1.22684
18,128517960.000000,1.22737,3.5e-05,1.22734
19,nan,1.23319,4.9e-05,1.23314
20,nan,1.22775,0.000358,1.2274
21,nan,1.22677,3.8e-05,1.22673
22,nan,1.23019,3.7e-05,1.23016
23,nan,1.23339,5.4e-05,1.23334
24,nan,1.22773,0.000383,1.22735
25,nan,1.22714,3.8e-05,1.2271
26,nan,1.22671,3.7e-05,1.22667
27,nan,1.23555,3.6e-05,1.23552
28,nan,1.2276,0.000361,1.22724
29,nan,1.22663,3.7e-05,1.2266
