benchmark,total_iterations,size,gpus,exec_policy,parent_stream_policy,device_selection_policy,tot_overhead_sec,mean_overhead_sec
VEC,5,950000000,8,ASYNC,multigpu-disjoint,round-robin,1.5728638999999999e-09,3.1457277999999996e-10
VEC,5,950000000,8,ASYNC,multigpu-disjoint,stream-aware,1.0485759999999999e-09,2.0971519999999997e-10
VEC,5,950000000,8,ASYNC,multigpu-disjoint,min-transfer-size,1.5728640000000001e-09,3.1457280000000005e-10
VEC,5,950000000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,3.1457279e-09,6.2914558e-10
VEC,5,950000000,4,ASYNC,multigpu-disjoint,round-robin,2.0971519999999997e-09,4.1943039999999994e-10
VEC,5,950000000,4,ASYNC,multigpu-disjoint,stream-aware,1.0485759999999999e-09,2.0971519999999997e-10
VEC,5,950000000,4,ASYNC,multigpu-disjoint,min-transfer-size,1.5728640000000001e-09,3.1457280000000005e-10
VEC,5,950000000,4,ASYNC,multigpu-disjoint,minmax-transfer-time,2.6214400000000004e-09,5.24288e-10
VEC,5,950000000,2,ASYNC,multigpu-disjoint,round-robin,5.242879999999999e-10,1.0485759999999998e-10
VEC,5,950000000,2,ASYNC,multigpu-disjoint,stream-aware,5.242879999999999e-10,1.0485759999999998e-10
VEC,5,950000000,2,ASYNC,multigpu-disjoint,min-transfer-size,2.0971519999999997e-09,4.1943039999999994e-10
VEC,5,950000000,2,ASYNC,multigpu-disjoint,minmax-transfer-time,3.6700158e-09,7.3400316e-10
VEC,5,950000000,1,ASYNC,multigpu-disjoint,round-robin,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,8,ASYNC,multigpu-disjoint,round-robin,1.0485759999999999e-09,2.0971519999999997e-10
B&S,5,35000000,8,ASYNC,multigpu-disjoint,stream-aware,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,8,ASYNC,multigpu-disjoint,min-transfer-size,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,1.0485759999999999e-09,2.0971519999999997e-10
B&S,5,35000000,4,ASYNC,multigpu-disjoint,round-robin,0.0,0.0
B&S,5,35000000,4,ASYNC,multigpu-disjoint,stream-aware,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,4,ASYNC,multigpu-disjoint,min-transfer-size,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,4,ASYNC,multigpu-disjoint,minmax-transfer-time,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,2,ASYNC,multigpu-disjoint,round-robin,0.0,0.0
B&S,5,35000000,2,ASYNC,multigpu-disjoint,stream-aware,0.0,0.0
B&S,5,35000000,2,ASYNC,multigpu-disjoint,min-transfer-size,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,2,ASYNC,multigpu-disjoint,minmax-transfer-time,5.242879999999999e-10,1.0485759999999998e-10
B&S,5,35000000,1,ASYNC,multigpu-disjoint,round-robin,5.242879999999999e-10,1.0485759999999998e-10
ML,5,1200000,8,ASYNC,multigpu-disjoint,round-robin,0.0,0.0
ML,5,1200000,8,ASYNC,multigpu-disjoint,stream-aware,0.0,0.0
ML,5,1200000,8,ASYNC,multigpu-disjoint,min-transfer-size,1.0485759999999999e-09,2.0971519999999997e-10
ML,5,1200000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,6.2914557e-09,1.2582911400000001e-09
