num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-0.000218,6.78639,0.000118,6.78627
1,-0.000218,2.44417,9.8e-05,2.44407
2,-0.000218,2.44594,0.000105,2.44584
3,-0.000218,2.44303,9.6e-05,2.44293
4,-0.000218,2.44571,0.001002,2.44471
5,-0.000218,2.44462,0.000106,2.44452
6,-0.000218,2.44483,9.7e-05,2.44473
7,-0.000218,2.44551,9.7e-05,2.44541
8,-0.000218,2.44625,0.001033,2.44522
9,-0.000218,2.44703,0.000107,2.44692
10,-0.000218,2.4452,0.000117,2.44508
11,-0.000218,2.44358,0.000106,2.44348
12,-0.000218,2.44872,0.001012,2.4477
13,-0.000218,2.44447,0.000106,2.44436
14,-0.000218,2.44928,9.6e-05,2.44918
15,-0.000218,2.4457,0.000106,2.4456
16,-0.000218,2.44599,0.001022,2.44497
17,-0.000218,2.44882,0.000106,2.44871
18,-0.000218,2.44435,0.000108,2.44424
19,-0.000218,2.44547,0.000116,2.44535
20,-0.000218,2.44646,0.001023,2.44544
21,-0.000218,2.4468,0.000111,2.44669
22,-0.000218,2.44902,0.000107,2.44892
23,-0.000218,2.44645,0.000106,2.44634
24,-0.000218,2.44555,0.001017,2.44453
25,-0.000218,2.44755,0.000109,2.44744
26,-0.000218,2.44418,0.000107,2.44408
27,-0.000218,2.44645,0.000106,2.44634
28,-0.000218,2.44755,0.001013,2.44654
29,-0.000218,2.447,0.000109,2.44689
