num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-0.004115,2.07947,4e-05,2.07943
1,-0.004115,1.2492,4.6e-05,1.24915
2,-0.004115,1.24964,4.6e-05,1.2496
3,-0.004115,1.24815,7.1e-05,1.24808
4,-0.004115,1.25013,0.0005,1.24963
5,-0.004115,1.24931,4.4e-05,1.24927
6,-0.004115,1.24916,4.5e-05,1.24912
7,-0.004115,1.24816,4.7e-05,1.24812
8,-0.004115,1.25025,0.000501,1.24975
9,-0.004115,1.2494,4.5e-05,1.24935
10,-0.004115,1.24895,4.5e-05,1.2489
11,-0.004115,1.24873,4.4e-05,1.24869
12,-0.004115,1.25072,0.000513,1.25021
13,-0.004115,1.24914,4.5e-05,1.24909
14,-0.004115,1.24925,5.4e-05,1.2492
15,-0.004115,1.24853,4.5e-05,1.24849
16,-0.004115,1.25045,0.000504,1.24995
17,-0.004115,1.24923,4.6e-05,1.24918
18,-0.004115,1.24883,4.8e-05,1.24878
19,-0.004115,1.24858,4.4e-05,1.24853
20,-0.004115,1.25013,0.000501,1.24962
21,-0.004115,1.24914,4.4e-05,1.2491
22,-0.004115,1.24893,4.6e-05,1.24888
23,-0.004115,1.24851,5.6e-05,1.24846
24,-0.004115,1.25031,0.000503,1.24981
25,-0.004115,1.24906,5.6e-05,1.249
26,-0.004115,1.24931,4.4e-05,1.24927
27,-0.004115,1.24853,4.5e-05,1.24849
28,-0.004115,1.2503,0.000503,1.24979
29,-0.004115,1.24976,4.6e-05,1.24971
