num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.333089,0.114932,0.03482,0.080112
1,0.333089,0.110252,0.030719,0.079533
2,0.333089,0.110211,0.03081,0.079401
3,0.333089,0.10971,0.030717,0.078993
4,0.333089,0.110382,0.030735,0.079647
5,0.333089,0.109882,0.030598,0.079284
6,0.333089,0.109782,0.030604,0.079178
7,0.333089,0.109577,0.030664,0.078913
8,0.333089,0.109936,0.030643,0.079293
9,0.333089,0.110094,0.030703,0.079391
10,0.333089,0.110198,0.030806,0.079392
11,0.333089,0.110149,0.030632,0.079517
12,0.333089,0.109354,0.030632,0.078722
13,0.333089,0.110027,0.030649,0.079378
14,0.333089,0.109495,0.030616,0.078879
15,0.333089,0.109965,0.030589,0.079376
16,0.333089,0.110059,0.030666,0.079393
17,0.333089,0.109705,0.030635,0.07907
18,0.333089,0.109824,0.03065,0.079174
19,0.333089,0.109951,0.030608,0.079343
