num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.333089,0.112919,0.032922,0.079997
1,0.333089,0.107238,0.029464,0.077774
2,0.333089,0.107783,0.029453,0.07833
3,0.333089,0.107591,0.029449,0.078142
4,0.333089,0.107527,0.029506,0.078021
5,0.333089,0.107416,0.02952,0.077896
6,0.333089,0.107525,0.02954,0.077985
7,0.333089,0.107604,0.029445,0.078159
8,0.333089,0.107539,0.029443,0.078096
9,0.333089,0.107035,0.029471,0.077564
10,0.333089,0.107499,0.029466,0.078033
11,0.333089,0.107492,0.029406,0.078086
12,0.333089,0.107325,0.029507,0.077818
13,0.333089,0.107329,0.029483,0.077846
14,0.333089,0.107756,0.029427,0.078329
15,0.333089,0.10715,0.029439,0.077711
16,0.333089,0.10743,0.029467,0.077963
17,0.333089,0.107397,0.029444,0.077953
18,0.333089,0.107459,0.029435,0.078024
19,0.333089,0.108033,0.029501,0.078532
