num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,0.000000,4.16493,2.92159,1.24334
1,0.000000,3.53653,2.38069,1.15584
2,0.000000,3.52939,2.37697,1.15242
3,0.000000,3.56331,2.37392,1.18939
4,0.000000,3.5422,2.38466,1.15754
5,0.000000,3.52707,2.37202,1.15505
6,0.000000,3.52741,2.37432,1.15309
7,0.000000,3.56858,2.37384,1.19474
8,0.000000,3.53933,2.38419,1.15515
9,0.000000,3.52853,2.3711,1.15743
10,0.000000,3.53734,2.3833,1.15404
11,0.000000,3.54444,2.38335,1.16109
12,0.000000,3.53718,2.38361,1.15357
13,0.000000,3.54356,2.38497,1.1586
14,0.000000,3.54174,2.38488,1.15686
15,0.000000,3.54242,2.38498,1.15744
16,0.000000,3.5409,2.38348,1.15742
17,0.000000,3.53865,2.38372,1.15493
18,0.000000,3.52346,2.37062,1.15284
19,0.000000,3.53815,2.37394,1.16421
20,0.000000,3.54022,2.38579,1.15443
21,0.000000,3.54903,2.38656,1.16246
22,0.000000,3.54535,2.38477,1.16058
23,0.000000,3.53609,2.37069,1.16541
24,0.000000,3.54079,2.38396,1.15683
25,0.000000,3.54782,2.38304,1.16478
26,0.000000,3.53977,2.3832,1.15657
27,0.000000,3.52319,2.37033,1.15285
28,0.000000,3.5321,2.38158,1.15052
29,0.000000,3.5415,2.38308,1.15841
