num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,-0.464261,7.51572,4.56386,2.95186
1,-0.464261,6.31377,3.69638,2.61739
2,-0.464261,6.30563,3.69814,2.60749
3,-0.464261,6.3148,3.69581,2.619
4,-0.464261,6.31212,3.69784,2.61428
5,-0.464261,6.31487,3.69705,2.61782
6,-0.464261,6.30925,3.698,2.61125
7,-0.464261,6.31754,3.69865,2.61889
8,-0.464261,6.31244,3.70469,2.60776
9,-0.464261,6.31017,3.69456,2.61561
10,-0.464261,6.3057,3.69652,2.60918
11,-0.464261,6.31791,3.70019,2.61772
12,-0.464261,6.31129,3.69973,2.61156
13,-0.464261,6.31731,3.70057,2.61675
14,-0.464261,6.31059,3.69917,2.61141
15,-0.464261,6.31194,3.70385,2.6081
16,-0.464261,6.31026,3.70519,2.60506
17,-0.464261,6.33529,3.71567,2.61963
18,-0.464261,6.33283,3.71947,2.61335
19,-0.464261,6.33864,3.72199,2.61666
20,-0.464261,6.33519,3.72059,2.6146
21,-0.464261,6.34614,3.71987,2.62626
22,-0.464261,6.32983,3.71807,2.61176
23,-0.464261,6.32531,3.70721,2.6181
24,-0.464261,6.34707,3.73916,2.60791
25,-0.464261,6.36953,3.75528,2.61426
26,-0.464261,6.36377,3.75432,2.60945
27,-0.464261,6.33352,3.71055,2.62297
28,-0.464261,6.33521,3.72804,2.60717
29,-0.464261,6.33002,3.71022,2.6198
