num_iter,gpu_result,total_time_sec,overhead_sec,computation_sec
0,5,1.36496,0.029558,1.3354
1,5,0.56833,0.074054,0.494276
2,5,0.573462,0.074111,0.499351
3,5,0.581019,0.07402,0.506999
4,5,0.569856,0.074569,0.495287
5,5,0.565934,0.073263,0.492671
6,5,0.570259,0.074269,0.49599
7,5,0.553642,0.073704,0.479938
8,5,0.560685,0.074288,0.486397
9,5,0.562315,0.073684,0.488631
10,5,0.577012,0.074035,0.502977
11,5,0.57144,0.073487,0.497953
12,5,0.568123,0.074618,0.493505
13,5,0.575616,0.073551,0.502065
14,5,0.576402,0.074272,0.50213
15,5,0.566721,0.07359,0.493131
16,5,0.578565,0.074504,0.504061
17,5,0.573266,0.073654,0.499612
18,5,0.573091,0.074189,0.498902
19,5,0.575094,0.073602,0.501492
20,5,0.571804,0.073763,0.498041
21,5,0.56326,0.073667,0.489593
22,5,0.577199,0.074327,0.502872
23,5,0.577192,0.073822,0.50337
24,5,0.574603,0.073778,0.500825
25,5,0.575637,0.074018,0.501619
26,5,0.572482,0.073884,0.498598
27,5,0.572382,0.074125,0.498257
28,5,0.570928,0.073976,0.496952
29,5,0.569035,0.074044,0.494991
