benchmark,total_iterations,size,gpus,exec_policy,parent_stream_policy,device_selection_policy,tot_overhead_sec,mean_overhead_sec
VEC,10,160000000,1,ASYNC,multigpu-disjoint,round-robin,0.018116633,0.0018116633
VEC,10,160000000,2,ASYNC,multigpu-disjoint,round-robin,0.017775509,0.0017775508999999998
VEC,10,160000000,2,ASYNC,multigpu-disjoint,stream-aware,0.01732599,0.001732599
VEC,10,160000000,2,ASYNC,multigpu-disjoint,min-transfer-size,0.02388637,0.002388637
VEC,10,160000000,2,ASYNC,multigpu-disjoint,minmax-transfer-time,0.022261872,0.0022261871999999998
VEC,10,160000000,4,ASYNC,multigpu-disjoint,round-robin,0.015498033,0.0015498032999999999
VEC,10,160000000,4,ASYNC,multigpu-disjoint,stream-aware,0.015162367,0.0015162367
VEC,10,160000000,4,ASYNC,multigpu-disjoint,min-transfer-size,0.016581886,0.0016581886
VEC,10,160000000,4,ASYNC,multigpu-disjoint,minmax-transfer-time,0.017250017,0.0017250017
VEC,10,160000000,8,ASYNC,multigpu-disjoint,round-robin,0.014369447,0.0014369447000000001
VEC,10,160000000,8,ASYNC,multigpu-disjoint,stream-aware,0.011948967,0.0011948967
VEC,10,160000000,8,ASYNC,multigpu-disjoint,min-transfer-size,0.014213706,0.0014213706
VEC,10,160000000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,0.017596802,0.0017596802
B&S,10,10000000,1,ASYNC,multigpu-disjoint,round-robin,0.003033545,0.0003033545
B&S,10,10000000,2,ASYNC,multigpu-disjoint,round-robin,0.005647838,0.0005647838
B&S,10,10000000,2,ASYNC,multigpu-disjoint,stream-aware,0.00214345,0.00021434499999999998
B&S,10,10000000,2,ASYNC,multigpu-disjoint,min-transfer-size,0.002936941,0.00029369410000000003
B&S,10,10000000,2,ASYNC,multigpu-disjoint,minmax-transfer-time,0.005451206,0.0005451206
B&S,10,10000000,4,ASYNC,multigpu-disjoint,round-robin,0.002554397,0.0002554397
B&S,10,10000000,4,ASYNC,multigpu-disjoint,stream-aware,0.001778041,0.0001778041
B&S,10,10000000,4,ASYNC,multigpu-disjoint,min-transfer-size,0.003099629,0.0003099629
B&S,10,10000000,4,ASYNC,multigpu-disjoint,minmax-transfer-time,0.005490245,0.0005490245
B&S,10,10000000,8,ASYNC,multigpu-disjoint,round-robin,0.002773429,0.0002773429
B&S,10,10000000,8,ASYNC,multigpu-disjoint,stream-aware,0.003396554,0.0003396554
B&S,10,10000000,8,ASYNC,multigpu-disjoint,min-transfer-size,0.004135463,0.0004135463
B&S,10,10000000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,0.00302343,0.000302343
ML,10,1000000,1,ASYNC,multigpu-disjoint,round-robin,0.023571525,0.0023571525
ML,10,1000000,2,ASYNC,multigpu-disjoint,round-robin,0.117139837,0.0117139837
ML,10,1000000,2,ASYNC,multigpu-disjoint,stream-aware,0.049857613,0.0049857613000000005
ML,10,1000000,2,ASYNC,multigpu-disjoint,min-transfer-size,0.034338334,0.0034338334
ML,10,1000000,2,ASYNC,multigpu-disjoint,minmax-transfer-time,0.05856316,0.005856316
ML,10,1000000,4,ASYNC,multigpu-disjoint,round-robin,0.071276812,0.0071276811999999995
ML,10,1000000,4,ASYNC,multigpu-disjoint,stream-aware,0.060792247,0.0060792247
ML,10,1000000,4,ASYNC,multigpu-disjoint,min-transfer-size,0.051636176,0.0051636176
ML,10,1000000,4,ASYNC,multigpu-disjoint,minmax-transfer-time,0.047637142,0.0047637142
ML,10,1000000,8,ASYNC,multigpu-disjoint,round-robin,0.11957892,0.011957892000000001
ML,10,1000000,8,ASYNC,multigpu-disjoint,stream-aware,0.028054913,0.0028054913
ML,10,1000000,8,ASYNC,multigpu-disjoint,min-transfer-size,0.074130709,0.007413070900000001
ML,10,1000000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,0.080884605,0.0080884605
MUL,10,20000,1,ASYNC,multigpu-disjoint,round-robin,0.002126793,0.0002126793
MUL,10,20000,2,ASYNC,multigpu-disjoint,round-robin,0.002885506,0.0002885506
MUL,10,20000,2,ASYNC,multigpu-disjoint,stream-aware,0.00238353,0.000238353
MUL,10,20000,2,ASYNC,multigpu-disjoint,min-transfer-size,0.003889133,0.0003889133
MUL,10,20000,2,ASYNC,multigpu-disjoint,minmax-transfer-time,0.005364389,0.0005364389
MUL,10,20000,4,ASYNC,multigpu-disjoint,round-robin,0.003185111,0.0003185111
MUL,10,20000,4,ASYNC,multigpu-disjoint,stream-aware,0.002485302,0.0002485302
MUL,10,20000,4,ASYNC,multigpu-disjoint,min-transfer-size,0.003876925,0.0003876925
MUL,10,20000,4,ASYNC,multigpu-disjoint,minmax-transfer-time,0.004934524,0.0004934524
MUL,10,20000,8,ASYNC,multigpu-disjoint,round-robin,0.00217951,0.000217951
MUL,10,20000,8,ASYNC,multigpu-disjoint,stream-aware,0.001914565,0.0001914565
MUL,10,20000,8,ASYNC,multigpu-disjoint,min-transfer-size,0.003407359,0.0003407359
MUL,10,20000,8,ASYNC,multigpu-disjoint,minmax-transfer-time,0.004685638,0.00046856379999999997
